filepath,class_id
SVIRO\train\i3_train_imageID_0_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_0_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1000_seatPosition_0_GT_1.png,1
SVIRO\train\i3_train_imageID_1000_seatPosition_2_GT_6.png,0
SVIRO\train\i3_train_imageID_1001_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1001_seatPosition_2_GT_6.png,0
SVIRO\train\i3_train_imageID_1002_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1002_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1003_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1003_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1004_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1004_seatPosition_2_GT_1.png,1
SVIRO\train\i3_train_imageID_1005_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1005_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_1006_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1006_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1007_seatPosition_0_GT_1.png,1
SVIRO\train\i3_train_imageID_1007_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_1008_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1008_seatPosition_2_GT_5.png,0
SVIRO\train\i3_train_imageID_1009_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1009_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_100_seatPosition_0_GT_5.png,0
SVIRO\train\i3_train_imageID_100_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1010_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1010_seatPosition_2_GT_5.png,0
SVIRO\train\i3_train_imageID_1011_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1011_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1012_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1012_seatPosition_2_GT_1.png,1
SVIRO\train\i3_train_imageID_1013_seatPosition_0_GT_5.png,0
SVIRO\train\i3_train_imageID_1013_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1014_seatPosition_0_GT_1.png,1
SVIRO\train\i3_train_imageID_1014_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1015_seatPosition_0_GT_5.png,0
SVIRO\train\i3_train_imageID_1015_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_1016_seatPosition_0_GT_5.png,0
SVIRO\train\i3_train_imageID_1016_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1017_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1017_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1018_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1018_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_1019_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1019_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_101_seatPosition_0_GT_1.png,1
SVIRO\train\i3_train_imageID_101_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1020_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1020_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_1021_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1021_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1022_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1022_seatPosition_2_GT_6.png,0
SVIRO\train\i3_train_imageID_1023_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1023_seatPosition_2_GT_5.png,0
SVIRO\train\i3_train_imageID_1024_seatPosition_0_GT_1.png,1
SVIRO\train\i3_train_imageID_1024_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1025_seatPosition_0_GT_1.png,1
SVIRO\train\i3_train_imageID_1025_seatPosition_2_GT_6.png,0
SVIRO\train\i3_train_imageID_1026_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1026_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1027_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1027_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1028_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1028_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1029_seatPosition_0_GT_1.png,1
SVIRO\train\i3_train_imageID_1029_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_102_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_102_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1030_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1030_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1031_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1031_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1032_seatPosition_0_GT_5.png,0
SVIRO\train\i3_train_imageID_1032_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1033_seatPosition_0_GT_1.png,1
SVIRO\train\i3_train_imageID_1033_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1034_seatPosition_0_GT_1.png,1
SVIRO\train\i3_train_imageID_1034_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1035_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1035_seatPosition_2_GT_1.png,1
SVIRO\train\i3_train_imageID_1036_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1036_seatPosition_2_GT_5.png,0
SVIRO\train\i3_train_imageID_1037_seatPosition_0_GT_5.png,0
SVIRO\train\i3_train_imageID_1037_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1038_seatPosition_0_GT_5.png,0
SVIRO\train\i3_train_imageID_1038_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1039_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1039_seatPosition_2_GT_5.png,0
SVIRO\train\i3_train_imageID_103_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_103_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_1040_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1040_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1041_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1041_seatPosition_2_GT_5.png,0
SVIRO\train\i3_train_imageID_1042_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1042_seatPosition_2_GT_6.png,0
SVIRO\train\i3_train_imageID_1043_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1043_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1044_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1044_seatPosition_2_GT_6.png,0
SVIRO\train\i3_train_imageID_1045_seatPosition_0_GT_1.png,1
SVIRO\train\i3_train_imageID_1045_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_1046_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1046_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1047_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1047_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1048_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1048_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1049_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1049_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_104_seatPosition_0_GT_5.png,0
SVIRO\train\i3_train_imageID_104_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1050_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1050_seatPosition_2_GT_6.png,0
SVIRO\train\i3_train_imageID_1051_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1051_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1052_seatPosition_0_GT_1.png,1
SVIRO\train\i3_train_imageID_1052_seatPosition_2_GT_6.png,0
SVIRO\train\i3_train_imageID_1053_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1053_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1054_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1054_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1055_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1055_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1056_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1056_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1057_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1057_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1058_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1058_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1059_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1059_seatPosition_2_GT_5.png,0
SVIRO\train\i3_train_imageID_105_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_105_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1060_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1060_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1061_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1061_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1062_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1062_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_1063_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1063_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1064_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1064_seatPosition_2_GT_5.png,0
SVIRO\train\i3_train_imageID_1065_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1065_seatPosition_2_GT_6.png,0
SVIRO\train\i3_train_imageID_1066_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1066_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1067_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1067_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1068_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1068_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_1069_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1069_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_106_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_106_seatPosition_2_GT_6.png,0
SVIRO\train\i3_train_imageID_1070_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1070_seatPosition_2_GT_5.png,0
SVIRO\train\i3_train_imageID_1071_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1071_seatPosition_2_GT_1.png,1
SVIRO\train\i3_train_imageID_1072_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1072_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1073_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1073_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1074_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1074_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1075_seatPosition_0_GT_5.png,0
SVIRO\train\i3_train_imageID_1075_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1076_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1076_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_1077_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1077_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1078_seatPosition_0_GT_5.png,0
SVIRO\train\i3_train_imageID_1078_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1079_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1079_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_107_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_107_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1080_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1080_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1081_seatPosition_0_GT_5.png,0
SVIRO\train\i3_train_imageID_1081_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_1082_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1082_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_1083_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1083_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1084_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1084_seatPosition_2_GT_5.png,0
SVIRO\train\i3_train_imageID_1085_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1085_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1086_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1086_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1087_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1087_seatPosition_2_GT_4.png,0
